TEST_Name,Name,Data
1,x1,0.02623
1,y1,0.09744
1,ϴ1,0.15816
2,x2,-0.08979
2,y2,-0.50208
2,ϴ2,-0.01082
3,x3,-0.08535
3,y3,-0.7248
3,ϴ3,0.08192
4,x4,-0.26987
4,y4,-1.49617
4,ϴ4,-0.02255
5,x5,-0.25441
5,y5,-2.19072
5,ϴ5,-0.22735
6,x6,0.12708
6,y6,-2.59112
6,ϴ6,-1.26576
7,x7,0.68539
7,y7,-2.67811
7,ϴ7,-1.31923
8,x8,1.33095
8,y8,-2.44265
8,ϴ8,3.29315
9,x9,1.36821
9,y9,-1.97646
9,ϴ9,3.28234
10,x10,1.36115
10,y10,-1.57203
10,ϴ10,3.07407
11,x11,1.17388
11,y11,-0.85511
11,ϴ11,3.42197
12,x12,1.33939
12,y12,-0.42169
12,ϴ12,3.36157
13,x13,1.42353
13,y13,0.05279
13,ϴ13,3.35196
14,x14,1.42609
14,y14,0.20619
14,ϴ14,3.16154
15,x15,1.39892
15,y15,0.66933
15,ϴ15,3.01202
